time(s)	globalZ	gyroAngle
14.130	0.035119	0.247
14.150	-0.053291	0.206
14.171	-0.288905	0.206
14.193	-0.207412	0.170
14.214	-0.013922	0.082
14.235	0.076270	0.026
14.258	0.016377	0.055
14.280	-0.066958	0.163
14.299	-0.005231	0.274
14.321	-0.020839	0.335
14.342	0.064318	0.385
14.364	0.187270	0.431
14.387	0.111518	0.457
14.406	-0.102470	0.460
14.428	-0.203968	0.422
14.449	0.002226	0.337
14.471	0.287423	0.219
14.492	0.170191	0.135
14.513	-0.108990	0.083
14.537	-0.071079	0.018
14.558	0.313722	359.923
14.578	0.342399	359.840
14.602	-0.156396	359.842
14.621	-0.581820	359.770
14.641	-0.521926	359.770
14.663	0.016311	359.584
14.685	0.529683	359.387
14.706	0.593156	359.252
14.727	0.179326	359.176
14.748	-0.190145	359.117
14.770	-0.256303	359.042
14.791	-0.033842	358.975
14.813	0.110641	358.955
14.834	0.113786	358.971
14.855	-0.072714	358.966
14.880	-0.235991	358.896
14.899	-0.077355	358.776
14.920	0.176591	358.653
14.941	0.360379	358.589
14.963	-0.055259	358.586
14.985	-0.579075	358.631
15.005	-0.578585	358.631
15.027	-0.181861	358.634
15.048	0.186431	358.634
15.070	0.373228	358.647
15.093	0.419594	358.653
15.113	0.486342	358.632
15.135	0.458642	358.592
15.155	0.242053	358.583
15.178	0.177663	358.621
15.199	0.329448	358.647
15.219	0.202270	358.672
15.241	-0.053289	358.751
15.262	-0.333563	358.910
15.283	-0.381445	359.115
15.305	-0.177829	359.286
15.326	-0.164299	359.407
15.347	-0.308918	359.519
15.369	-0.405698	359.634
15.391	-0.313112	359.747
15.412	-0.150378	359.866
15.433	0.157862	359.983
15.454	0.507488	0.071
15.476	0.402895	0.136
15.498	0.087490	0.221
15.519	-0.192964	0.349
15.541	-0.239084	0.521
15.561	-0.030112	0.644
15.583	0.396163	0.687
15.604	0.292680	0.728
15.626	-0.175710	0.815
15.649	-0.541336	0.899
15.668	-0.368957	0.903
15.690	0.118995	0.806
15.711	0.408050	0.685
15.732	0.319808	0.596
15.754	-0.076409	0.556
15.775	-0.327062	0.522
15.798	-0.348569	0.468
15.819	-0.086203	0.404
15.840	0.234298	0.371
15.861	0.206681	0.409
15.882	0.064525	0.524
15.904	-0.126362	0.670
15.925	-0.167426	0.821
15.947	-0.045354	0.964
15.968	-0.078135	1.103
15.989	-0.301474	1.254
16.010	-0.255601	1.441
16.032	-0.184849	1.627
16.056	-0.140329	1.923
16.074	-0.229118	1.923
16.097	-0.158824	2.080
16.121	-0.021023	2.252
16.139	0.051291	2.393
16.160	0.097238	2.494
16.181	-0.074611	2.560
16.205	-0.017479	2.611
16.224	0.227737	2.638
16.246	0.221575	2.665
16.267	0.096926	2.710
16.288	0.067092	2.761
16.310	0.094936	2.780
16.331	-0.082988	2.782
16.354	-0.094422	2.781
16.374	0.021612	2.804
16.396	-0.162894	2.833
16.426	-0.217131	2.846
16.439	-0.102371	2.872
16.460	-0.079140	2.872
16.481	-0.053129	2.943
16.504	-0.068417	2.943
16.524	-0.089846	2.979
16.545	0.227888	2.973
16.567	0.389144	2.921
16.588	0.142376	2.862
16.610	-0.119913	2.798
16.631	-0.166647	2.686
16.653	0.069891	2.504
16.673	0.295131	2.296
16.695	0.280815	2.125
16.718	-0.049085	1.989
16.739	-0.271788	1.829
16.761	-0.172554	1.620
16.781	0.160279	1.393
16.802	0.192046	1.178
16.823	0.106534	0.968
16.844	0.169113	0.735
16.866	0.177094	0.483
16.887	0.161404	0.208
16.909	0.202366	359.901
16.930	0.146918	359.597
16.951	-0.205368	359.350
16.973	-0.444951	358.928
